resonance_smis,H298_kcal
O=C1CC(O)C1[CH]O,-59.897419736930175
CC12C([O])C3OC1C2O3,-23.239502053689147
O=C1CNC1[C]1CO1,39.70232545947008
CC1CC(C)[C]1C1CC1,55.59458133814096
CC12[CH]C3OC3C1(C)C2,36.621628254517695
OCCN1[CH]C2(CO2)C1,15.511479400165795
CC(O)C#CC(O)[CH]O,-40.56194295880406
CO[C]1CC12COC2=O,-23.294317861771948
O=[C]C1COC1CC=O,-39.63652173703517
OC1C[CH]C2CCC2C1,-0.2766637517629313
O=CC1(C2CO2)C[CH]O1,-10.341619880121163
N#CC1C(O)[CH]C2NC21,62.44710279457404
C[CH]N1CC1(C)CO,10.941738379665356
C[C]1CCC(=NO)C1,28.65697548303832
CC([C]=O)CCCC=O,-46.21499072289906
C[C]1COC12CC2CO,-1.2618250762445682
C#CC1CC(O[C]=O)C1,34.681926971805275
C#CC(C=O)C(C)[C]=O,25.273633210148816
C[C]1CCC1CC(C)C,21.408588996102324
CC12[N]C3C(OC1=O)C32,24.5410194673484
CC=C1C=CC(=[N])C=C1,93.68805176009266
CC1[CH]N2CC12C1CO1,87.39060811656579
[CH2]C12OC1CC2(O)C=O,-22.80143834203179
[CH2]OC(C)C1(O)COC1,-63.92430163019138
C#CC1([CH]CC)CCO1,66.77635079431343
C[C]1C2C=CC=CC1C2,89.14484902722643
[CH2]C12C(C)OC1C2C,34.4670946861527
CC12OCC1C[C]2CO,-6.435504896128647
[CH]1COCC=CCOC1,-8.643578034836239
N#CC12[CH]OC(CC1)O2,10.456730051302484
OC1CC2OCO[C]12,-44.17567077086276
CCC([NH])C=O,6.30463371722579
CC(CC#N)C(=O)C[O],-6.170098119812407
[CH]1CCC12C1CC2O1,90.83493270163916
OCC12CC[CH]CC1O2,-30.02208753102493
C#CC12C[CH]C1C2,141.40129142841735
Nc1c[nH]c2c1O[CH]C2,59.87669179691576
CC12O[CH]C3C1C(O)C32,16.812932597890622
C#CC1CC1[CH]C1CO1,101.1175565222829
CCC[C]1CC2(O)CC12,27.61884356202596
CN1[CH]C2(O)C1C2(C)O,10.7830500533867
[CH]1C2OC=NC2C12CN2,88.52888284512883
OCC([CH]N1CC1)CO,-19.769407707560955
CN1CC1C(C)([NH])C#N,104.66096849420758
CC(=[N])c1cccc(C)c1,62.93584761030494
C#CO[C]=N,102.02647644089942
CCC1C[C](C)C1(C)O,-16.066399401756737
O[CH]C1OCCC1CO,-90.71363899816475
[CH]1C2CC(C2)OC12CC2,47.46383880091479
C#CCC12CC1[CH]CO2,82.52957701810222
OC1CCC23[CH]OC12C3,24.49779275125502
CC1[N]C1C1(C=O)CN1,70.57498037003883
CC12[CH]OC1(C=O)CN2,26.435261812535032
[CH2]N1CC1(C)C1NC1C,89.16949565062798
