resonance_smis,H298_kcal,weights
CCC1C[C](C)C1(C)O,-16.066399401756737,1.0
O[CH]C1OCCC1CO,-90.71363899816477,1.0
[CH]1C2CC(C2)OC12CC2,47.46383880091479,1.0
C#CCC12CC1[CH]CO2,82.52957701810222,1.0
OC1CCC23[CH]OC12C3,24.49779275125502,1.0
CC1[N]C1C1(C=O)CN1,70.57498037003883,1.0
CC12[CH]OC1(C=O)CN2,26.435261812535032,1.0
[CH2]N1CC1(C)C1NC1C,89.16949565062798,1.0
OC[CH]C12CC3CC1C32,64.07532393603518,1.0
[CH]1OC2(C3CN3)COC12,52.72090694100714,1.0
CO[CH]C1(C)CN1C,24.864500301268922,1.0
C1C[C]2OCC2O1,-3.3124375543269786,1.0
CC1([C]2OCC2O)CO1,-38.06780545281009,1.0
C#CC1C2OC1C2[CH]C,120.23519525549544,1.0
CC12[CH]OC(C1)C(O)C2,-44.75296194223413,1.0
CCCC[C]1CCC1,29.965729819094076,1.0
[CH]1CC2(C3CN3)OC12,91.19420998578859,1.0
CC1(C)CC12[CH]CC=C2,59.82035069809299,1.0
CCC1NC12[CH]C(O)C2,39.6357522843291,1.0
C#CC12O[CH]C1C2OC,86.09564620525941,1.0
[CH2]C1CC1(O)C#CCC,60.76187532398327,1.0
C#CCC1OC1C[CH]O,29.04204627799908,1.0
CN1C2[CH]CC(=O)C1C2,37.44035410628036,1.0
COC1CC1[CH]CO,-22.240700668969843,1.0
O=C1C[CH]C2(CC2O)O1,-55.94171015710064,1.0
O=[C]C(CO)N1CC1,-0.1674717530765005,1.0
C[C]1CC2CC(O2)C1C,2.4291063899314373,1.0
CC12OC1C1OC2[C]1O,2.25904891872947,1.0
Nc1c[nH]c2c1C[CH]N2,95.75144580632846,1.0
CC1CC12CC1[N]C12C,102.01328422913569,1.0
C[C]1COC12COC2C,-2.5909519746084917,1.0
[CH2]C1C(C#CC#N)N1C,160.46619528666625,1.0
[CH2]C1C2C=CC(CO)C12,33.911667858845355,1.0
CCC[CH]C1(C=O)CC1,7.692555087907346,1.0
CCC(C)(O)C(C)[CH]O,-85.72824043205259,1.0
NC1C(=O)O[CH]C12CN2,4.576640736437066,1.0
CC12[CH]OC(C1)C2O,-16.218240582969674,1.0
[CH2]C1C(CC)N1CC#N,90.52677272224722,1.0
CCCC=[N],38.07542395262369,1.0
[CH2]OCCCCCC,-26.854179415381427,1.0
CN1CC12[CH]CC1OC12,64.95093578079904,1.0
C[C]1CC(O)C1C#N,37.62530506682996,1.0
CC(C)C(=[N])O,-9.262098290675555,1.0
CC(=O)C1[CH]C(C)CC1,-19.274627060316426,1.0
C[C]1CC2(C=O)OC12,22.173424577284063,1.0
CCC1[C](C)C2OC12C,26.625055727118465,1.0
CCC1(C)CC12[CH]OC2,29.091519545420024,1.0
[CH]1C2C3N1CC23C1CC1,160.07705097156028,1.0
CC1O[C]1C(C)(O)CO,-72.97754986532797,1.0
CC(C)O[C]1COC1C,-34.988867200299026,1.0
CC1=CC[CH]CC=C1,61.220948019146434,1.0
CC1(C)OCC1[CH]O,-39.27839106525998,1.0
CC1(O)C[CH]OC1C#N,-15.967324563315282,1.0
O=CC1OC[C]1C1CC1,19.60436570497146,1.0
CC1(C2=NC[CH]O2)CO1,7.421433305123079,1.0
C#CC(C)(C#N)C[CH]O,71.29633583255331,1.0
N=CO[CH]C1CCO1,4.792637758390307,1.0
CC1OC12CO[C]2CO,-34.39957172671263,1.0
C[C]1C2COC3C1OC23,9.20076705545183,1.0
C[CH]C(C)n1cccn1,66.96856401727682,1.0
C[C](CC1CO1)C(C)C,-4.436076030012427,1.0
CC1(C)C[CH]COC1,-16.861555346190958,1.0
CC(O)C1([C]=O)CC1,-30.589704143305166,1.0
C#CC(O)C1NC1[CH2],87.06288511157844,1.0
[CH2]C1C2CC(C)C12CO,27.13300307145761,1.0
CC(C)OC[C]1COC1,-23.831661723292118,1.0
O=CO[C]1CCC12CC2,0.23010667610740987,1.0
CCC(O)[CH]C1(C)CC1,-11.124412529884161,1.0
N#CCC(O)CC[CH]O,-36.39038011207937,1.0
CC(=O)C1([C]=O)COC1,-41.98369312754053,1.0
O=CC[C]1CC=CC1,20.300458793020322,1.0
O=C1C=[C]COCOC1,-22.987190036261637,1.0
O[CH]C12CCC1C1CN12,72.96594299003358,1.0
CC1C2[CH]N(C)C12C#N,121.95938153690518,1.0
COC1C=C(C)C[C]1C,2.1748717242202096,1.0
N#CC12CN3C([C]1N)C32,165.45801413503523,1.0
C[CH]C(CC=O)OC=O,-83.03275835013406,1.0
[CH2]C1C=C2CC3C1C23C,150.90486872049456,1.0
CC1([CH]COC=O)CO1,-64.041120877034,1.0
COC1(C#N)CC[C]1N,48.352561384239976,1.0
CN1CC1C1([C]=O)CO1,32.6750559032863,1.0
CC1C2CC1([C]1CN1)O2,103.27656062709683,1.0
C[C](O)C1COC1=O,-76.51692798411449,1.0
CCC12[CH]OC1(C)CC2,20.13592563076241,1.0
CC12OC[CH]C1CC2=O,-12.645639140158767,1.0
CC12NC1CCC[C]2O,8.910978128950067,1.0
C[C]1CC=CC(=O)OC1,-28.57322809237752,1.0
OC1CC[CH]OC12CC2,-25.397206266857552,1.0
CC1C([O])C(O)C2CC12,-23.847238924226303,1.0
N#CCNC[CH]C1CC1,88.36577464583024,1.0
C[C]1C(C)C2NC12CO,37.754696451180735,1.0
N=C1C[CH]C(C2CO2)O1,7.071990979976242,1.0
CC1COC=NC1[CH]O,-33.164854040848994,1.0
CCCC1CC2(O)[CH]C12,31.637190818182507,1.0
CCCC1(O)[CH]OC1=N,-16.56817142857146,1.0
O=[C]C1OCCC12CN2,8.859587359207538,1.0
[CH]1CCC23CC2(CO3)O1,26.05828217088441,1.0
