resonance_smis,H298_kcal,weights
C[NH+]=C([O-])COO,-73.55926700027112,0.5
CNC(=O)COO,-73.55926700027112,0.5
CC([O-])=[NH+]CO,-97.50607912731031,0.5
CC(=O)NCO,-97.50607912731031,0.5
O=CC1CCC([NH+]=C[O-])CC1,-89.3574180073809,0.5
O=CNC1CCC(C=O)CC1,-89.3574180073809,0.5
CC(=N)NC1CCCNC1,2.308147226559923,0.5
CC([NH-])=[NH+]C1CCCNC1,2.308147226559923,0.5
CC(C=O)C(=O)NC=N,-61.24243580923884,0.3333333333333333
CC(C=O)C([O-])=[NH+]C=N,-61.24243580923884,0.3333333333333333
CC(C=O)C(=O)[NH+]=C[NH-],-61.24243580923884,0.3333333333333333
O=C(O)C1CC[N+](=c2nccc[n-]2)CC1,-58.336288112470015,0.3333333333333333
O=C(O)C1CCN(c2ncccn2)CC1,-58.336288112470015,0.3333333333333333
O=C(O)C1CCN(C2=[N+]=CC=C[N-]2)CC1,-58.336288112470015,0.3333333333333333
C=CCN=CN,32.675105697523215,0.5
C=CC[N-]C=[NH2+],32.675105697523215,0.5
c1cn2c(n1)CCCC2,20.647843755853785,0.5
c1c[n+]2c([n-]1)CCCC2,20.647843755853785,0.5
NCC1CCNC=NC1,21.041277308740806,0.5
NCC1CC[NH+]=C[N-]C1,21.041277308740806,0.5
O=C1CCc2cccc3c2N1CC3,-17.339302956828547,0.5
[O-]C1=[N+]2CCc3cccc(c32)CC1,-17.339302956828547,0.5
CC1[N-]C=[NH+]CC12CCCN2,17.925388670347125,0.5
CC1N=CNCC12CCCN2,17.925388670347125,0.5
CC12CNC1CCNC=N2,46.45237394450516,0.5
CC12CNC1CC[NH+]=C[N-]2,46.45237394450516,0.5
COC(C#N)C([NH-])=[NH2+],8.2933683523383,0.5
COC(C#N)C(=N)N,8.2933683523383,0.5
CCOC([O-])=[N+]1CCC(=O)CC1,-135.24938285513645,0.5
CCOC(=O)N1CCC(=O)CC1,-135.24938285513645,0.5
CCOC(=O)NN1CC=CCC1,-54.504413216939845,0.5
CCOC([O-])=[NH+]N1CC=CCC1,-54.504413216939845,0.5
N=C(N)CC[NH+]=C([O-])C1CCC(N)=N1,-27.97618008446109,0.25
N=C(N)CCNC(=O)C1CCC(N)=N1,-27.97618008446109,0.25
N=C(N)CCNC(=O)C1CCC(=[NH2+])[N-]1,-27.97618008446109,0.25
[NH-]C(=[NH2+])CCNC(=O)C1CCC(N)=N1,-27.97618008446109,0.25
[O-]C1=[NH+]C(C2CC2)CC1,-29.86750863759542,0.5
O=C1CCC(C2CC2)N1,-29.86750863759542,0.5
CC1(C=O)NC(=O)C1O,-92.81046747510152,0.5
CC1(C=O)[NH+]=C([O-])C1O,-92.81046747510152,0.5
CC(C#N)CC(=[NH2+])[O-],-33.203858761695635,0.5
CC(C#N)CC(N)=O,-33.203858761695635,0.5
N=C(O)NC1CCCOC1=N,-63.69265364519024,0.5
N=C1OCCCC1[NH+]=C([NH-])O,-63.69265364519024,0.5
N=C[N+](C=N)=C(N)[O-],-9.51756438549159,0.25
N=CN(C=N)C(N)=O,-9.51756438549159,0.25
N=C[N+](=C[NH-])C(N)=O,-9.51756438549159,0.25
N=CN(C=N)C(=[NH2+])[O-],-9.51756438549159,0.25
[NH2+]=C([N-]O)N1CCOCC1,-24.53112327649955,0.3333333333333333
NC(=NO)N1CCOCC1,-24.53112327649955,0.3333333333333333
NC([N-]O)=[N+]1CCOCC1,-24.53112327649955,0.3333333333333333
C=C(N)N(C)C(N)=O,-31.55093513368628,0.3333333333333333
C=C(N)N(C)C(=[NH2+])[O-],-31.55093513368628,0.3333333333333333
C=C(N)[N+](C)=C(N)[O-],-31.55093513368628,0.3333333333333333
C=C(C)NC(=O)CO,-77.79268720671666,0.5
C=C(C)[NH+]=C([O-])CO,-77.79268720671666,0.5
C#CCC(C)NC=O,1.2259604763354164,0.5
C#CCC(C)[NH+]=C[O-],1.2259604763354164,0.5
CC(=O)C#CC[NH+]=C[O-],-19.06887194269181,0.5
CC(=O)C#CCNC=O,-19.06887194269181,0.5
O=CNC1(CO)CCC1,-74.6378204157709,0.5
[O-]C=[NH+]C1(CO)CCC1,-74.6378204157709,0.5
CN(C=O)C1CCCC1,-49.36834962621669,0.5
C[N+](=C[O-])C1CCCC1,-49.36834962621669,0.5
C[N-]C(=[NH2+])O,-39.76095456954881,0.5
CN=C(N)O,-39.76095456954881,0.5
C#CC(C)(O)CC(=[NH2+])[O-],-49.112807431724654,0.5
C#CC(C)(O)CC(N)=O,-49.112807431724654,0.5
C=CC(=N)C(=[NH2+])[O-],-7.150190117356029,0.5
C=CC(=N)C(N)=O,-7.150190117356029,0.5
O=C1CCCC2CN12,-10.139228754788526,0.5
[O-]C1=[N+]2CC2CCC1,-10.139228754788526,0.5
NNC(=O)C(N)CO,-67.20066278884205,0.5
N[NH+]=C([O-])C(N)CO,-67.20066278884205,0.5
C=CCC(=[NH2+])[N-]C,22.680619750995287,0.5
C=CCC(N)=NC,22.680619750995287,0.5
C[N+](C=O)=C[O-],-78.53542767558078,0.5
CN(C=O)C=O,-78.53542767558078,0.5
C#CC(CC#N)C(N)=O,33.085420869697494,0.5
C#CC(CC#N)C(=[NH2+])[O-],33.085420869697494,0.5
C#CC(O)C(=N)[NH+]=C[O-],-4.528307079618148,0.3333333333333333
C#CC(O)C([NH-])=[NH+]C=O,-4.528307079618148,0.3333333333333333
C#CC(O)C(=N)NC=O,-4.528307079618148,0.3333333333333333
C=C(N)C1CCCN1C=O,-26.388843747011027,0.5
C=C(N)C1CCC[N+]1=C[O-],-26.388843747011027,0.5
[NH-]C(=[NH2+])CC(N)=O,-39.74364042436554,0.3333333333333333
N=C(N)CC(=[NH2+])[O-],-39.74364042436554,0.3333333333333333
N=C(N)CC(N)=O,-39.74364042436554,0.3333333333333333
C#CC=CNC(=O)[NH+]=C(C)[NH-],32.96909745080265,0.25
C#CC=C[NH+]=C([O-])NC(C)=N,32.96909745080265,0.25
C#CC=CNC(=O)NC(C)=N,32.96909745080265,0.25
C#CC=CNC([O-])=[NH+]C(C)=N,32.96909745080265,0.25
C#CCNC(=N)C(C)=O,33.172806672598824,0.5
C#CC[NH+]=C([NH-])C(C)=O,33.172806672598824,0.5
C=CCn1cc(C(=O)OC)nn1,-4.08810647742193,0.5
C=CC[n+]1cc(C(=O)OC)[n-]n1,-4.08810647742193,0.5
C=CC(=O)NC(=C)C(N)=O,-54.578285374035154,0.3333333333333333
C=CC([O-])=[NH+]C(=C)C(N)=O,-54.578285374035154,0.3333333333333333
C=CC(=O)NC(=C)C(=[NH2+])[O-],-54.578285374035154,0.3333333333333333
CCOC(=N)NC(=[NH2+])[O-],-86.50765943321201,0.25
CCOC(=N)[NH+]=C(N)[O-],-86.50765943321201,0.25
CCOC(=N)NC(N)=O,-86.50765943321201,0.25
CCOC([NH-])=[NH+]C(N)=O,-86.50765943321201,0.25
C#CCC(C#N)NC=O,45.43355935506854,0.5
C#CCC(C#N)[NH+]=C[O-],45.43355935506854,0.5
CC(=N)OC(=O)C([NH-])=[NH2+],-56.83048012978645,0.5
CC(=N)OC(=O)C(=N)N,-56.83048012978645,0.5
CN=C(CC#N)[NH+]=C[O-],8.222845363844863,0.3333333333333333
CN=C(CC#N)NC=O,8.222845363844863,0.3333333333333333
C[N-]C(CC#N)=[NH+]C=O,8.222845363844863,0.3333333333333333
O=C(Nc1ccccc1)N1CCCC1,-21.24129206140588,0.3333333333333333
[O-]C(Nc1ccccc1)=[N+]1CCCC1,-21.24129206140588,0.3333333333333333
[O-]C(=[NH+]c1ccccc1)N1CCCC1,-21.24129206140588,0.3333333333333333
C=CNC(=[NH2+])[O-],-34.051448780210364,0.3333333333333333
C=CNC(N)=O,-34.051448780210364,0.3333333333333333
C=C[NH+]=C(N)[O-],-34.051448780210364,0.3333333333333333
C[N+](=C[O-])CC(O)C=O,-116.06181958523578,0.5
CN(C=O)CC(O)C=O,-116.06181958523578,0.5
O=C(Nc1ccc2c(c1)OCO2)C1CC1,-56.82791832771605,0.5
[O-]C(=[NH+]c1ccc2c(c1)OCO2)C1CC1,-56.82791832771605,0.5
CNC([O-])=[N+]1CCCC1,-50.66518487039753,0.3333333333333333
CNC(=O)N1CCCC1,-50.66518487039753,0.3333333333333333
C[NH+]=C([O-])N1CCCC1,-50.66518487039753,0.3333333333333333
[O-]C1=[NH+]C2CCC2CC1,-33.10312610490993,0.5
O=C1CCC2CCC2N1,-33.10312610490993,0.5
N=CNCC12CCCN1C2,47.27157518221769,0.5
[NH-]C=[NH+]CC12CCCN1C2,47.27157518221769,0.5
